file_id,T,tr,min_valid_vox,OLD_max_abs,OLD_max_rel,OLD_mean_abs,M1_max_abs,M1_max_rel,M1_mean_abs,M2_max_abs,M2_max_rel,M2_mean_abs
NYU_0051013,176,2.0,62,3.552713678800501e-15,4.817891208261455e-16,3.947459643111668e-16,3.552713678800501e-15,3.881757029076412e-16,3.5856091758264317e-16,7.105427357601002e-15,4.134162103463012e-16,8.68441121484567e-16
NYU_0051050,176,2.0,61,1.7763568394002505e-15,4.1759214179416814e-16,2.4568824341241893e-16,1.7763568394002505e-15,4.476968967463114e-16,2.5658487680225843e-16,7.105427357601002e-15,4.652550662895544e-16,9.83575361075324e-16
NYU_0051082,176,2.0,62,3.552713678800501e-15,4.254055992047425e-16,4.210623619319112e-16,3.552713678800501e-15,4.4151009333096037e-16,3.9310118945987024e-16,7.105427357601002e-15,3.7882022947168335e-16,9.93444010183103e-16
NYU_0051117,176,2.0,62,1.7763568394002505e-15,4.3065293587673367e-16,2.8290127442300287e-16,5.3290705182007506e-15,6.078311363777693e-16,3.454027187722709e-16,7.105427357601002e-15,4.362551690899918e-16,7.5330688189381e-16
Olin_0050112,206,1.5,62,3.552713678800501e-15,4.1939190167501903e-16,3.5280420560310533e-16,3.552713678800501e-15,5.385635190069357e-16,4.6876083261951055e-16,7.105427357601002e-15,4.503829449602338e-16,9.605485131571725e-16
Pitt_0050011,196,1.5,62,1.7763568394002505e-15,4.158151395892169e-16,2.327356414584587e-16,2.664535259100376e-15,5.251551648291921e-16,2.680983007613341e-16,7.105427357601002e-15,6.249482758096629e-16,6.677785896263905e-16
Pitt_0050046,196,1.5,62,3.552713678800501e-15,4.490528537392814e-16,3.0099379778726473e-16,3.552713678800501e-15,4.532985936317841e-16,3.1579677144893343e-16,1.0658141036401504e-14,5.060840520956301e-16,8.618620220793807e-16
SBL_0051574,196,2.200000047683716,62,1.7763568394002505e-15,4.954581734918018e-16,2.2780131690456915e-16,1.7763568394002505e-15,3.5838830320086194e-16,2.080640186890108e-16,7.105427357601002e-15,4.2679556513612383e-16,7.138322854626932e-16
SDSU_0050205,176,2.0,56,1.7763568394002505e-15,4.4039002984613854e-16,2.24100573489152e-16,1.7763568394002505e-15,3.6341326813820837e-16,2.2780131690456915e-16,3.552713678800501e-15,4.352296835616199e-16,4.868533559837725e-16
Stanford_0051182,236,2.0,62,1.7763568394002505e-15,4.68383665396821e-16,2.450714528431827e-16,1.7763568394002505e-15,5.880072620708995e-16,2.327356414584587e-16,3.552713678800501e-15,3.987100313726143e-16,4.4079966014746956e-16
Trinity_0050249,146,2.0,22,1.7763568394002505e-15,4.5474717965067825e-16,3.059538219482057e-16,1.7763568394002505e-15,4.0498190903663525e-16,3.503370433261605e-16,7.105427357601002e-15,5.216873848407255e-16,7.368591333808446e-16
UCLA_1_0051202,116,3.0,62,3.552713678800501e-15,4.953736297499613e-16,4.498459218296005e-16,3.552713678800501e-15,4.747293957079752e-16,4.39154885296173e-16,7.105427357601002e-15,4.424717902805624e-16,9.539694137519865e-16
UCLA_1_0051240,116,3.0,62,3.552713678800501e-15,4.396763913410248e-16,2.919475361051337e-16,3.552713678800501e-15,4.23558347821086e-16,3.750086660956084e-16,5.3290705182007506e-15,4.247336582675721e-16,7.894919286223335e-16
UCLA_1_0051282,116,3.0,62,3.552713678800501e-15,4.639833027395375e-16,3.412907816440296e-16,3.552713678800501e-15,4.820793775179369e-16,4.375101104448765e-16,5.3290705182007506e-15,4.0058836743453935e-16,7.105427357601002e-16
