file_id,T,max_abs_err,mean_abs_err,corr,n_mismatch_1em8,n_mismatch_1em10,n_dead_roi
Trinity_0050253,146,0.0,0.0,0.9999999999999998,0,0,0
Trinity_0051132,146,0.0,0.0,1.0,0,0,0
UCLA_1_0051207,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051224,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051250,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051269,116,0.0,0.0,1.0,0,0,0
UCLA_2_0051295,116,0.0,0.0,1.0,0,0,0
UCLA_2_0051314,116,0.0,0.0,1.0,0,0,0
UM_1_0050287,296,0.0,0.0,1.0,0,0,0
UM_1_0050305,296,0.0,0.0,1.0,0,0,0
UM_1_0050326,296,0.0,0.0,1.0,0,0,0
UM_1_0050343,296,0.0,0.0,1.0,0,0,0
